task,provider,model,input_ref,ratio,duration_s,latency_s,cost_usd,status,error_code,notes,key_label
T1,elevenlabs,api-metadata,voices+shared-voices,,,,0.0000,ok,,free metadata; key scoped tts+voices only,key1
T2,fal,fal-ai/nano-banana/edit,foto01_bw_tua.jpg|taman,9:16,,10.6,0.0390,ok,,saved foto01_bw_tua__taman.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto01_bw_tua.jpg|pantai,16:9,,8.9,0.0390,ok,,saved foto01_bw_tua__pantai.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto01_bw_tua.jpg|ruang_tamu,9:16,,9.2,0.0390,ok,,saved foto01_bw_tua__ruang_tamu.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto03_warna_pudar.jpg|taman,9:16,,9.8,0.0390,ok,,saved foto03_warna_pudar__taman.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto03_warna_pudar.jpg|pantai,16:9,,16.3,0.0390,ok,,saved foto03_warna_pudar__pantai.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto03_warna_pudar.jpg|ruang_tamu,9:16,,11.3,0.0390,ok,,saved foto03_warna_pudar__ruang_tamu.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto05_keluarga_grup.jpg|taman,9:16,,9.6,0.0390,ok,,saved foto05_keluarga_grup__taman.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto05_keluarga_grup.jpg|pantai,16:9,,10.9,0.0390,ok,,saved foto05_keluarga_grup__pantai.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto05_keluarga_grup.jpg|ruang_tamu,9:16,,11.3,0.0390,ok,,saved foto05_keluarga_grup__ruang_tamu.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto07_lansia_solo.jpg|taman,9:16,,10.4,0.0390,ok,,saved foto07_lansia_solo__taman.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto07_lansia_solo.jpg|pantai,16:9,,10.0,0.0390,ok,,saved foto07_lansia_solo__pantai.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto07_lansia_solo.jpg|ruang_tamu,9:16,,9.9,0.0390,ok,,saved foto07_lansia_solo__ruang_tamu.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto10_anak.jpg|taman,9:16,,9.9,0.0390,ok,,saved foto10_anak__taman.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto10_anak.jpg|pantai,16:9,,9.6,0.0390,ok,,saved foto10_anak__pantai.jpg,key1
T2,fal,fal-ai/nano-banana/edit,foto10_anak.jpg|ruang_tamu,9:16,,10.6,0.0390,ok,,saved foto10_anak__ruang_tamu.jpg,key1
T3,fal,fal-ai/nano-banana/edit,foto08_lansia_solo2.jpg+foto09_dewasa_fusion.jpg,9:16,,54.9,0.0390,ok,,saved A_lansia+dewasa__std.jpg,key1
T3,fal,fal-ai/nano-banana/edit,foto07_lansia_solo.jpg+foto14_fusion_b.jpg,16:9,,36.3,0.0390,ok,,saved B_lansia+fusi__std.jpg,key1
T3,fal,fal-ai/nano-banana/edit,foto10_anak.jpg+foto14_fusion_b.jpg,9:16,,24.9,0.0390,ok,,saved C_anak+fusi__std.jpg,key1
T3,fal,fal-ai/nano-banana-pro/edit,foto08_lansia_solo2.jpg+foto09_dewasa_fusion.jpg,9:16,,27.4,0.1500,ok,,saved A_lansia+dewasa__pro.jpg,key1
T3,fal,fal-ai/nano-banana/edit,foto08+foto09|retry,9:16,,15.9,0.0390,ok,,std retry: explicit exactly-two-people constraint,key1
T4,fal,fal-ai/kling-video/v3/standard/image-to-video,foto01_bw_tua__taman,9:16,5,78.8,0.4200,ok,,kling3-std saved foto01_bw_tua__taman__9x16.mp4,key1
T5,elevenlabs,eleven_multilingual_v2,n1_rumah|meraki_F,,,13.4,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
T5,elevenlabs,eleven_multilingual_v2,n1_rumah|mizan_M,,,2.0,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
T5,elevenlabs,eleven_multilingual_v2,n1_rumah|maya_F,,,10.9,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
T5,elevenlabs,eleven_multilingual_v2,n1_rumah|bian_M,,,1.6,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
T5,elevenlabs,eleven_multilingual_v2,n1_rumah|bram_M,,,0.5,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
T5,elevenlabs,eleven_multilingual_v2,n2_taman|meraki_F,,,0.5,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
T5,elevenlabs,eleven_multilingual_v2,n2_taman|mizan_M,,,0.5,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
T5,elevenlabs,eleven_multilingual_v2,n2_taman|maya_F,,,0.5,0.0000,error,402,"{""detail"":{""type"":""payment_required"",""code"":""paid_plan_required"",""message"":""Free users cannot use library voices via the",key1
